time (ms),x-accel,y-accel,z-accel
87099.8429,0.288467,0.349274,-0.082794
87099.86815,0.11441,0.125183,-0.120132
87099.89342,-0.037643,0.371841,-0.718399
87099.91866,0.289169,1.9505,0.375778
87099.9439,0.082413,4.736542,-0.474777
87099.96917,0.184601,1.269241,-0.09259
87099.99442,-0.044052,0.304565,0.181885
87100.01969,-0.191177,0.397354,0.213882
87100.04494,-0.254761,0.954727,0.039322
87100.07019,-0.422165,1.294571,-0.191238
87100.09546,-0.222137,0.936325,-0.307434
87100.12071,-0.173325,0.879852,-0.304459
87100.14598,-0.218124,0.978546,-0.305099
87100.17123,-0.16423,0.967941,-0.2939
87100.19647,-0.051697,0.96048,-0.293259
87100.22174,-0.082489,1.079712,-0.339844
87100.24699,0.013443,0.9823,-0.283005
87100.27226,0.170685,0.81311,-0.021851
87100.29751,0.219864,0.776932,-0.005951
87100.32275,0.272919,0.857712,-0.042435
87100.34802,0.216324,0.959259,-0.052704
87100.37327,0.020554,1.211731,-0.015396
87100.39854,0.071503,1.250275,0.308685
87100.4238,0.105469,1.067871,0.272049
87100.44905,0.090729,0.962738,-0.020065
87100.47432,0.068695,0.958115,-0.137772
87100.49957,-0.063446,1.077438,-0.185501
87100.52484,-0.078857,1.080872,-0.078903
87100.55008,-0.103806,1.150284,-0.102982
87100.57533,-0.028351,1.116547,0.021729
87100.6006,0.074326,1.051575,0.162659
87100.62586,0.188782,1.015335,0.209473
87100.65113,0.23851,0.977554,0.241211
87100.67639,0.248215,0.869843,0.199799
87100.70164,0.258545,0.785904,0.025955
87100.72691,0.275604,0.731277,-0.042648
87100.75216,0.279663,0.632751,-0.005325
87100.77743,0.285278,0.658737,0.029892
87100.80268,0.217026,0.759735,-0.6689
87100.82793,0.079514,1.07103,-0.002716
87100.8532,-0.025131,1.396683,0.345459
87100.87845,-0.1633,1.5112,0.595032
87100.90372,0.206329,1.096466,0.287979
87100.92897,0.318192,0.859756,-0.241104
87100.95422,0.29863,0.857086,-0.193375
87100.97949,0.174622,0.881546,-0.093948
87101.00475,0.099594,0.927521,-0.083679
87101.03002,0.054337,1.024399,-0.056503
87101.05527,-0.023453,1.073227,0.227234
87101.08052,0.088638,1.076859,0.343811
87101.10579,0.28511,0.956528,0.002579
87101.13104,0.30513,0.904663,-0.127777
87101.15631,0.23233,0.917984,-0.15062
87101.18156,0.198715,0.952682,-0.097855
87101.20682,0.216476,0.990891,0.052063
87101.23209,0.230804,1.03476,0.30896
87101.25734,0.197052,1.018967,0.138138
87101.28262,0.207138,0.992355,0.008026
87101.30786,0.174072,0.951797,0.009415
87101.33312,0.16539,0.971863,0.005692
87101.35839,0.174881,0.981934,0.078003
87101.38364,0.192993,0.969742,0.062195
87101.40891,0.205353,0.966141,0.039246
87101.43416,0.189316,0.964722,0.024597
87101.45941,0.176285,0.957596,0.040878
87101.48468,0.179581,0.943634,0.091034
87101.50993,0.188248,0.942596,0.132217
87101.5352,0.180832,0.968765,0.137711
87101.56045,0.179031,0.978256,0.129868
87101.5857,0.218018,0.970215,0.204163
87101.61097,0.234512,1.013992,0.248856
87101.63622,0.2052,1.061447,0.225601
87101.66149,0.178162,1.083633,0.235367
87101.68674,0.142944,1.031769,0.097336
87101.712,0.189346,0.924561,0.054626
87101.73727,0.406067,0.956711,0.355682
87101.76252,0.528503,0.98822,0.448074
87101.78779,0.391632,0.947372,0.392029
87101.81304,0.200958,0.932648,0.308456
87101.83829,0.196991,0.940109,0.182846
87101.86356,0.27681,0.836639,0.172577
87101.88881,0.422134,0.765411,0.245178
87101.91409,0.476913,0.706558,0.257629
87101.93933,0.409225,0.673584,0.284317
87101.96459,0.315002,0.681305,0.265045
87101.98986,0.226852,0.733292,0.287582
87102.01511,0.182907,0.748367,0.409637
87102.04038,0.204407,0.75296,0.448975
87102.06563,0.321762,0.7444,0.455002
87102.09088,0.426559,0.721756,0.54776
87102.11615,0.577835,0.821075,0.495056
87102.1414,0.638748,0.938538,0.415741
87102.16667,0.581161,0.871964,0.473785
87102.19192,0.461014,0.735764,0.482208
87102.21716,0.294998,0.681595,0.42746
87102.24243,0.194946,0.78186,0.300415
87102.26768,0.128372,1.134048,0.244781
87102.29295,0.201767,1.280991,0.182846
87102.3182,0.137665,1.47493,0.192947
87102.34345,0.034744,1.390686,0.090881
87102.36872,-0.059555,1.004303,0.159271
87102.39397,-0.031952,0.800949,-0.0625
87102.41924,0.115341,0.846191,-0.23381
87102.44449,0.222977,0.782013,-0.233521
87102.46974,0.307449,0.977814,-0.165024
87102.49501,0.385666,1.065216,-0.148239
87102.52026,0.390244,1.044235,-0.149002
87102.54553,0.285172,0.97403,-0.107391
87102.57078,0.282272,0.961243,0.081573
87102.59602,0.088837,0.947128,0.289566
87102.6213,0.076431,0.975739,0.290741
87102.64654,0.192261,0.907272,0.051102
87102.67181,0.250961,0.865524,-0.031219
87102.69707,0.269287,0.849136,-0.067154
87102.72232,0.30072,0.847336,-0.083923
87102.74759,0.339508,0.876083,-0.072021
87102.77284,0.35672,0.872787,-0.062866
87102.79811,0.320236,0.865005,-0.067383
87102.82336,0.260864,0.920547,-0.064896
87102.84861,0.191513,0.931442,-0.01001
87102.87388,0.158325,0.959,0.143845
87102.89914,0.277527,1.02774,0.194992
87102.92441,0.432236,1.004761,-0.026215
87102.94966,0.511948,0.994507,-0.160263
87102.97491,0.623001,1.037811,-0.113647
87103.00018,0.685577,1.121109,0.011017
87103.02543,0.687546,1.213791,0.314026
87103.05069,0.591873,1.213165,0.389694
87103.07594,0.58078,1.114349,-0.03952
87103.10119,0.454117,0.832245,-0.178558
87103.12646,0.35022,0.757629,-0.265289
87103.1517,0.190201,0.915817,-0.241623
87103.17697,-0.136368,1.759415,-0.245728
87103.20222,-0.369568,2.14238,-0.028778
87103.22747,-0.151443,1.023849,0.069275
87103.25274,0.062851,0.700821,0.161148
87103.27782,0.116928,0.742661,-0.120544
87103.30309,0.643341,0.830536,0.361557
87103.32834,0.74501,1.095108,-0.122589
87103.35358,0.494751,0.882446,0.232025
87103.37886,0.217163,0.61911,0.243896
87103.40411,0.062836,0.491547,0.090897
87103.42937,-0.059479,0.332153,-0.061829
87103.45462,-0.152863,0.358109,-0.016846
87103.47987,-0.169571,0.468292,0.050827
87103.50514,-0.127991,0.610245,0.123154
87103.53039,0.092133,0.858688,0.37059
87103.55565,0.601669,1.384567,1.287888
87103.5809,1.76857,1.906998,1.689758
87103.60614,0.878754,1.307114,0.482971
87103.63141,0.093842,0.122589,0.398376
87103.65666,-0.336456,-0.059601,0.335403
87103.68192,-0.115524,0.652695,-0.229019
87103.70717,0.348831,1.914795,-0.882111
87103.73242,0.156891,2.867874,0.182755
87103.75769,0.183472,1.266556,0.354645
87103.78294,0.037888,0.461456,-0.000198
87103.8082,0.080795,0.343811,-0.13916
87103.83345,0.17366,0.339539,-0.368835
87103.8587,0.216965,1.269989,-0.412872
87103.88397,0.072693,1.567108,-0.493011
87103.90921,0.155304,1.077576,-0.195755
87103.93448,0.194595,0.898453,-0.018448
87103.95973,0.072922,0.808273,0.855881
87103.98498,0.421021,0.965744,0.173355
87104.01026,0.287735,0.818359,-0.069427
87104.03551,0.280121,0.803925,-0.169266
87104.06078,0.373596,0.795151,-0.126831
87104.08603,0.400452,0.750763,-0.079041
87104.11128,0.429535,0.870361,-0.109192
87104.13655,0.398956,0.939224,-0.049103
87104.1618,0.313507,0.970032,0.057999
87104.18707,0.324677,0.977905,0.431183
87104.21232,0.589478,0.945984,0.165039
87104.23757,0.592606,1.067719,-0.031036
87104.26284,0.544586,1.082993,-0.074036
87104.28809,0.485718,1.115219,0.327499
87104.31336,0.474121,1.128159,0.380173
87104.33861,0.473312,1.027649,-0.100082
87104.36387,0.367798,0.978271,-0.193344
87104.38913,0.366089,1.141327,-0.380524
87104.41439,0.141663,1.961884,-0.634949
87104.43966,0.203552,2.10434,0.663086
87104.46491,-0.293808,1.182724,0.210922
87104.49016,0.049744,0.47438,0.148666
87104.51543,0.074677,0.467255,-0.077896
87104.54068,0.501694,0.524612,0.221191
87104.56595,0.452286,0.938873,-0.167648
87104.5912,0.582123,1.041306,-0.028717
87104.61645,0.190231,0.798019,0.017838
87104.64172,-0.11821,0.495926,0.119949
87104.66697,-0.234848,0.432129,0.070892
87104.69224,-0.08345,0.571716,0.045425
87104.71749,0.194061,0.579834,0.245438
87104.74274,0.330673,0.653671,0.400284
87104.76801,0.359375,0.803955,0.436569
87104.79325,0.26358,1.079224,0.63623
87104.81852,0.530441,1.337296,1.046738
87104.84377,0.652512,1.316971,0.549423
87104.86902,0.519409,0.952271,0.790985
87104.89429,0.426758,0.737381,0.700684
87104.91954,0.127014,1.325928,-0.419815
87104.94481,-0.154602,2.229614,-0.933548
87104.97006,-0.211685,1.310074,-0.170715
87104.99531,-0.089798,0.285095,-0.138519
87105.02058,0.128845,0.097214,-0.129395
87105.04583,0.24913,0.431992,-0.05687
87105.0711,0.341354,1.292007,-0.126007
87105.09635,0.25705,1.834671,-0.339554
87105.1216,0.243317,1.136688,-0.18486
87105.14687,0.136795,0.716309,-0.058167
87105.17212,0.074966,0.642288,-0.028992
87105.19739,0.156982,0.863663,0.065781
87105.22265,0.224197,0.97496,0.138168
87105.24789,0.203064,0.907379,0.160904
87105.27316,0.250244,0.927795,0.043411
87105.29841,0.262268,0.912521,-0.051254
87105.32368,0.295029,0.875763,-0.121933
87105.34893,0.299179,0.965744,-0.099487
87105.37418,0.33551,1.073181,0.026138
87105.39946,0.474411,1.003464,0.141083
87105.42471,0.492706,0.986542,0.065765
87105.44997,0.502853,1.032532,-0.081299
87105.47522,0.505661,1.071259,0.067291
87105.50047,0.453964,1.054993,0.424454
87105.52574,0.489212,1.010178,0.090485
87105.55099,0.444794,0.879578,-0.144424
87105.57626,0.425842,0.900742,-0.153595
87105.60151,0.441742,1.20932,-0.293747
87105.62675,0.142746,2.037582,-0.594742
87105.65202,-0.38031,2.286072,0.280228
87105.67727,-0.33165,1.18985,0.31398
87105.70254,0.025513,0.552597,0.175827
87105.7278,0.119629,0.479385,0.024673
87105.75305,0.43927,0.55899,0.122696
87105.77831,0.486771,0.987015,-0.299133
87105.80357,0.639908,0.966843,-0.049179
87105.82884,0.238739,0.626083,0.027328
87105.85409,-0.157455,0.487946,-0.021545
87105.87934,-0.158127,0.544495,0.016739
87105.90461,-0.185577,0.463669,0.182632
87105.92986,0.07431,0.422272,0.391342
87105.95513,0.298386,0.62468,0.477921
87105.98038,0.384171,1.070709,0.715027
87106.00563,0.740036,1.6008,1.297745
87106.0309,0.848679,1.459976,0.991196
87106.05615,0.373367,0.645065,0.399918
87106.08143,0.233078,0.093857,0.546539
87106.10668,0.179077,0.528229,0.202362
87106.13193,0.215454,1.401031,-0.433823
87106.15719,0.159668,2.066849,-0.40802
87106.18244,0.149109,2.079437,0.698593
87106.20772,0.087601,0.756042,0.016235
87106.23297,0.076447,0.536163,-0.450943
87106.25822,0.182404,0.358017,-0.321854
87106.28349,0.188873,0.803757,-0.255737
87106.30874,0.075439,1.386261,-0.409302
87106.33402,-0.028748,1.395065,-0.422958
87106.35927,0.046082,0.888306,-0.134247
87106.38452,0.070801,0.771927,0.002792
87106.40979,0.127502,0.827072,0.121323
87106.43505,0.40538,0.809418,0.361053
87106.46032,0.392319,0.923325,0.102356
87106.48557,0.54071,0.946442,-0.055222
87106.51083,0.524994,0.81427,-0.101791
87106.5361,0.501816,0.762924,-0.09111
87106.56135,0.423904,0.912735,-0.055557
87106.58663,0.298798,1.029083,0.200836
87106.61188,0.323074,0.974274,0.550323
87106.63713,0.534531,0.968842,-0.093063
87106.6624,0.598785,1.029785,-0.15683
87106.68765,0.458801,1.014297,0.203339
87106.71293,0.427338,1.228882,0.500763
87106.73819,0.588913,1.030396,0.095047
87106.76344,0.571945,0.926895,0.025269
87106.78871,0.519211,0.96611,-0.090836
87106.81396,0.559769,1.050064,-0.363358
87106.83923,0.247528,1.862183,-0.743057
87106.86449,0.038498,2.082489,-0.725052
87106.88974,-0.220901,1.368332,0.584259
87106.91501,0.047897,0.607315,0.113937
87106.94027,0.567841,0.479492,0.092926
87106.96554,0.466202,0.891098,0.127792
87106.99079,0.447678,1.113327,-0.065842
87107.01604,0.334778,0.903809,-0.049911
87107.04131,0.003052,0.626541,-0.140793
87107.06656,-0.360458,0.32309,-0.016006
87107.09183,-0.382935,0.474289,0.05394
87107.11708,-0.14357,0.49205,0.000656
87107.14233,-0.067261,0.549622,0.191269
87107.1676,0.017242,0.620468,0.352142
87107.19285,0.178009,0.823059,0.503235
87107.21812,0.577484,1.340179,1.523376
87107.24337,1.67775,1.604172,1.378021
87107.26862,0.823639,1.23262,0.031799
87107.29389,0.406631,0.130249,0.543701
87107.31914,0.161133,0.104889,0.251038
87107.34442,-0.020416,1.204178,-0.245178
87107.36967,-0.061646,2.140656,-0.59079
87107.39492,0.122009,2.632034,1.324997
87107.42019,0.08519,0.727158,0.094727
87107.44543,0.047806,0.222183,-0.256683
87107.4707,0.147614,0.400314,-0.300568
87107.49595,0.262924,0.694382,-0.309784
87107.5212,0.227966,1.260178,-0.308289
87107.54647,0.101578,1.336105,-0.321793
87107.57172,0.156067,0.894745,-0.091141
87107.59699,0.209351,0.896164,0.304993
87107.62225,0.303558,1.029053,0.971725
87107.6475,0.318253,0.921829,-0.019012
87107.67277,0.306885,0.713623,-0.065704
87107.69802,0.452927,0.691544,-0.134491
87107.72329,0.507919,0.742142,-0.133652
