time (ms),x-accel,y-accel,z-accel
86975.97353,-0.011734,-0.988235,0.155991
86975.99879,-0.042099,-1.018707,0.135162
86976.02403,-0.027786,-1.011856,0.160049
86976.04926,0.019669,-1.022232,0.209564
86976.07453,0.053558,-1.012497,0.158737
86976.09977,0.10614,-1.039429,0.166412
86976.12503,0.15065,-1.045197,0.135818
86976.15027,0.140656,-1.097443,0.127487
86976.17551,-0.113098,-1.150589,0.18956
86976.20077,-0.092545,-1.086563,0.23053
86976.22601,0.238861,-0.940384,0.170944
86976.25127,-0.226791,-1.050369,-0.088593
86976.27651,-0.474365,-1.105209,-0.052704
86976.30175,-0.480911,-0.952576,-0.146759
86976.32701,-0.277283,-1.00383,-0.069824
86976.35225,-0.274292,-1.039032,-0.03804
86976.37751,-0.245224,-1.10289,0.014969
86976.40275,-0.18782,-1.078705,0.044495
86976.42799,-0.149063,-1.070908,0.071854
86976.45325,-0.056702,-1.161163,0.078186
86976.47849,0.019257,-1.096771,0.084213
86976.50376,-0.190781,-1.011917,0.032272
86976.52899,-0.203705,-1.037704,0.061508
86976.55423,-0.144424,-0.971649,0.03804
86976.5795,-0.087906,-0.997696,0.039902
86976.60474,-0.070801,-0.974472,0.00322
86976.63,-0.113922,-0.942795,-0.007797
86976.65524,-0.212814,-0.942688,0.001694
86976.68048,-0.198349,-0.921097,0.034805
86976.70574,-0.119019,-0.904388,-0.044342
86976.73098,-0.05423,-0.908157,-0.065155
86976.75624,-0.074097,-0.911285,-0.056335
86976.78148,-0.176743,-0.918533,0.007309
86976.80672,-0.100006,-0.890259,0.022751
86976.83199,0.122635,-0.877258,0.084702
86976.85723,0.215744,-0.839233,0.193832
86976.88249,0.236099,-0.832199,0.255341
86976.90774,0.234421,-0.793457,0.236557
86976.93297,0.036636,-1.22493,-0.033066
86976.95824,-1.837357,-0.690186,-0.275909
86976.98348,-1.722992,-1.444626,1.303238
86977.00874,3.31749,-1.673767,-3.548782
86977.03398,0.764465,-0.877472,-0.651443
86977.05922,-0.929108,-0.99826,0.443832
86977.08449,-0.9496,-0.884674,0.36998
86977.10973,0.355057,-0.910461,0.082443
86977.13499,-0.252106,-1.016769,0.079727
86977.16023,-0.549103,-0.940414,0.217117
86977.18547,-0.242813,-0.975494,0.125687
86977.21073,-0.058807,-0.980667,0.135483
86977.23597,-0.129868,-0.995636,0.1492
86977.26123,-0.145126,-0.956131,0.185303
86977.28646,-0.081375,-0.962616,0.233246
86977.31171,-0.154953,-0.930786,0.27034
86977.33697,-0.10199,-0.956528,0.189636
86977.36222,0.019775,-1.040726,0.161789
